county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date
Santa Clara,8767.0,184.0,109,1,2020-07-25
Santa Clara,8986.0,184.0,219,0,2020-07-26
Santa Clara,9157.0,184.0,171,0,2020-07-27
Santa Clara,9307.0,185.0,150,1,2020-07-28
Santa Clara,9567.0,187.0,260,2,2020-07-29
Santa Clara,9708.0,190.0,141,3,2020-07-30
Santa Clara,9863.0,191.0,155,1,2020-07-31
Santa Clara,10281.0,191.0,418,0,2020-08-01
Santa Clara,10577.0,191.0,296,0,2020-08-02
Santa Clara,10747.0,191.0,170,0,2020-08-03
Santa Clara,10986.0,192.0,239,1,2020-08-04
Santa Clara,11074.0,196.0,88,4,2020-08-05
Santa Clara,11280.0,196.0,206,0,2020-08-06
Santa Clara,11409.0,203.0,129,7,2020-08-07
San Mateo,57.0,1.0,57,1,2020-03-18
San Mateo,58.0,1.0,1,0,2020-03-19
San Mateo,71.0,1.0,13,0,2020-03-20
San Mateo,78.0,1.0,7,0,2020-03-21
San Mateo,82.0,1.0,4,0,2020-03-22
San Mateo,88.0,1.0,6,0,2020-03-23
San Mateo,100.0,2.0,12,1,2020-03-24
San Mateo,111.0,5.0,11,3,2020-03-25
San Mateo,122.0,5.0,11,0,2020-03-26
San Mateo,213.0,7.0,91,2,2020-03-27
San Mateo,231.0,9.0,18,2,2020-03-28
San Mateo,234.0,12.0,3,3,2020-03-29
San Mateo,257.0,11.0,23,-1,2020-03-30
San Mateo,297.0,12.0,40,1,2020-03-31
San Mateo,354.0,13.0,57,1,2020-04-01
San Mateo,423.0,13.0,69,0,2020-04-02
San Mateo,474.0,13.0,51,0,2020-04-03
San Mateo,520.0,17.0,46,4,2020-04-04
San Mateo,528.0,19.0,8,2,2020-04-05
San Mateo,569.0,20.0,41,1,2020-04-06
San Mateo,573.0,22.0,4,2,2020-04-07
San Mateo,608.0,22.0,35,0,2020-04-08
San Mateo,630.0,23.0,22,1,2020-04-09
San Mateo,642.0,21.0,12,-2,2020-04-10
San Mateo,662.0,25.0,20,4,2020-04-11
San Mateo,664.0,25.0,2,0,2020-04-12
San Mateo,679.0,25.0,15,0,2020-04-13
San Mateo,681.0,25.0,2,0,2020-04-14
San Mateo,707.0,25.0,26,0,2020-04-15
San Mateo,745.0,25.0,38,0,2020-04-16
San Mateo,768.0,28.0,23,3,2020-04-17
San Mateo,821.0,28.0,53,0,2020-04-18
San Mateo,845.0,31.0,24,3,2020-04-19
San Mateo,890.0,31.0,45,0,2020-04-20
San Mateo,933.0,31.0,43,0,2020-04-21
San Mateo,945.0,39.0,12,8,2020-04-22
San Mateo,970.0,39.0,25,0,2020-04-23
San Mateo,1004.0,43.0,34,4,2020-04-24
San Mateo,1054.0,43.0,50,0,2020-04-25
San Mateo,1070.0,46.0,16,3,2020-04-26
San Mateo,1092.0,46.0,22,0,2020-04-27
San Mateo,1129.0,48.0,37,2,2020-04-28
San Mateo,1170.0,50.0,41,2,2020-04-29
San Mateo,1194.0,52.0,24,2,2020-04-30
San Mateo,1222.0,52.0,28,0,2020-05-01
San Mateo,1272.0,52.0,50,0,2020-05-02
San Mateo,1277.0,53.0,5,1,2020-05-03
San Mateo,1313.0,53.0,36,0,2020-05-04
San Mateo,1335.0,56.0,22,3,2020-05-05
San Mateo,1348.0,56.0,13,0,2020-05-06
San Mateo,1398.0,57.0,50,1,2020-05-07
San Mateo,1423.0,62.0,25,5,2020-05-08
San Mateo,1453.0,65.0,30,3,2020-05-09
San Mateo,1463.0,65.0,10,0,2020-05-10
San Mateo,1499.0,65.0,36,0,2020-05-11
San Mateo,1533.0,66.0,34,1,2020-05-12
San Mateo,1550.0,66.0,17,0,2020-05-13
San Mateo,1588.0,66.0,38,0,2020-05-14
San Mateo,1612.0,67.0,24,1,2020-05-15
San Mateo,1652.0,68.0,40,1,2020-05-16
San Mateo,1680.0,68.0,28,0,2020-05-17
San Mateo,1701.0,68.0,21,0,2020-05-18
San Mateo,1704.0,75.0,3,7,2020-05-19
San Mateo,1739.0,75.0,35,0,2020-05-20
San Mateo,1791.0,75.0,52,0,2020-05-21
San Mateo,1847.0,76.0,56,1,2020-05-22
San Mateo,1862.0,76.0,15,0,2020-05-23
San Mateo,1925.0,76.0,63,0,2020-05-24
San Mateo,1938.0,76.0,13,0,2020-05-25
San Mateo,1967.0,82.0,29,6,2020-05-26
San Mateo,2045.0,82.0,78,0,2020-05-27
San Mateo,2070.0,82.0,25,0,2020-05-28
San Mateo,2103.0,84.0,33,2,2020-05-29
San Mateo,2129.0,84.0,26,0,2020-05-30
San Mateo,2169.0,84.0,40,0,2020-05-31
San Mateo,2190.0,84.0,21,0,2020-06-01
San Mateo,2203.0,84.0,13,0,2020-06-02
San Mateo,2243.0,84.0,40,0,2020-06-03
San Mateo,2284.0,84.0,41,0,2020-06-04
San Mateo,2331.0,88.0,47,4,2020-06-05
San Mateo,2342.0,88.0,11,0,2020-06-06
San Mateo,2399.0,88.0,57,0,2020-06-07
San Mateo,2431.0,88.0,32,0,2020-06-08
San Mateo,2463.0,93.0,32,5,2020-06-09
San Mateo,2492.0,93.0,29,0,2020-06-10
San Mateo,2499.0,93.0,7,0,2020-06-11
San Mateo,2533.0,99.0,34,6,2020-06-12
San Mateo,2551.0,99.0,18,0,2020-06-13
San Mateo,2571.0,99.0,20,0,2020-06-14
San Mateo,2591.0,99.0,20,0,2020-06-15
San Mateo,2618.0,99.0,27,0,2020-06-16
San Mateo,2649.0,99.0,31,0,2020-06-17
San Mateo,2674.0,99.0,25,0,2020-06-18
San Mateo,2713.0,103.0,39,4,2020-06-19
San Mateo,2755.0,103.0,42,0,2020-06-20
San Mateo,2781.0,103.0,26,0,2020-06-21
San Mateo,2813.0,103.0,32,0,2020-06-22
San Mateo,2907.0,103.0,94,0,2020-06-23
San Mateo,2964.0,104.0,57,1,2020-06-24
San Mateo,3000.0,104.0,36,0,2020-06-25
San Mateo,3063.0,106.0,63,2,2020-06-26
San Mateo,3096.0,106.0,33,0,2020-06-27
San Mateo,3162.0,106.0,66,0,2020-06-28
San Mateo,3249.0,106.0,87,0,2020-06-29
San Mateo,3306.0,108.0,57,2,2020-06-30
San Mateo,3326.0,108.0,20,0,2020-07-01
San Mateo,3390.0,108.0,64,0,2020-07-02
San Mateo,3439.0,108.0,49,0,2020-07-03
San Mateo,3532.0,108.0,93,0,2020-07-04
San Mateo,3575.0,108.0,43,0,2020-07-05
San Mateo,3650.0,108.0,75,0,2020-07-06
San Mateo,3691.0,111.0,41,3,2020-07-07
San Mateo,3733.0,111.0,42,0,2020-07-08
San Mateo,3792.0,111.0,59,0,2020-07-09
San Mateo,3844.0,112.0,52,1,2020-07-10
San Mateo,3956.0,112.0,112,0,2020-07-11
San Mateo,3988.0,112.0,32,0,2020-07-12
San Mateo,4057.0,112.0,69,0,2020-07-13
San Mateo,4173.0,114.0,116,2,2020-07-14
San Mateo,4258.0,114.0,85,0,2020-07-15
San Mateo,4336.0,114.0,78,0,2020-07-16
San Mateo,4407.0,114.0,71,0,2020-07-17
San Mateo,4488.0,114.0,81,0,2020-07-18
San Mateo,4522.0,114.0,34,0,2020-07-19
San Mateo,4609.0,114.0,87,0,2020-07-20
San Mateo,4733.0,114.0,124,0,2020-07-21
San Mateo,4796.0,114.0,63,0,2020-07-22
San Mateo,4895.0,114.0,99,0,2020-07-23
San Mateo,4954.0,117.0,59,3,2020-07-24
San Mateo,5023.0,117.0,69,0,2020-07-25
San Mateo,5078.0,117.0,55,0,2020-07-26
San Mateo,5108.0,117.0,30,0,2020-07-27
San Mateo,5171.0,118.0,63,1,2020-07-28
San Mateo,5305.0,118.0,134,0,2020-07-29
San Mateo,5369.0,118.0,64,0,2020-07-30
San Mateo,5416.0,119.0,47,1,2020-07-31
San Mateo,5520.0,119.0,104,0,2020-08-01
San Mateo,5618.0,119.0,98,0,2020-08-02
San Mateo,5661.0,119.0,43,0,2020-08-03
San Mateo,5690.0,120.0,29,1,2020-08-04
San Mateo,5695.0,120.0,5,0,2020-08-05
San Mateo,5885.0,120.0,190,0,2020-08-06
San Mateo,5948.0,120.0,63,0,2020-08-07
Santa Barbara,2.0,0.0,2,0,2020-03-18
Santa Barbara,5.0,0.0,3,0,2020-03-19
Santa Barbara,7.0,0.0,2,0,2020-03-20
Santa Barbara,8.0,0.0,1,0,2020-03-21
Santa Barbara,16.0,0.0,8,0,2020-03-22
Santa Barbara,18.0,0.0,2,0,2020-03-23
Santa Barbara,20.0,0.0,2,0,2020-03-24
Santa Barbara,25.0,0.0,5,0,2020-03-25
Santa Barbara,33.0,0.0,8,0,2020-03-26
Santa Barbara,37.0,0.0,4,0,2020-03-27
Santa Barbara,49.0,0.0,12,0,2020-03-28
Santa Barbara,52.0,0.0,3,0,2020-03-29
Santa Barbara,79.0,0.0,27,0,2020-03-30
Santa Barbara,89.0,0.0,10,0,2020-03-31
Santa Barbara,103.0,0.0,14,0,2020-04-01
Santa Barbara,125.0,1.0,22,1,2020-04-02
Santa Barbara,154.0,1.0,29,0,2020-04-03
Santa Barbara,167.0,1.0,13,0,2020-04-04
Santa Barbara,171.0,1.0,4,0,2020-04-05
Santa Barbara,189.0,2.0,18,1,2020-04-06
Santa Barbara,209.0,2.0,20,0,2020-04-07
Santa Barbara,221.0,2.0,12,0,2020-04-08
Santa Barbara,232.0,2.0,11,0,2020-04-09
Santa Barbara,254.0,2.0,22,0,2020-04-10
Santa Barbara,258.0,2.0,4,0,2020-04-11
Santa Barbara,261.0,2.0,3,0,2020-04-12
Santa Barbara,271.0,2.0,10,0,2020-04-13
Santa Barbara,292.0,2.0,21,0,2020-04-14
Santa Barbara,317.0,2.0,25,0,2020-04-15
Santa Barbara,331.0,2.0,14,0,2020-04-16
Santa Barbara,349.0,3.0,18,1,2020-04-17
Santa Barbara,372.0,4.0,23,1,2020-04-18
Santa Barbara,377.0,4.0,5,0,2020-04-19
Santa Barbara,388.0,4.0,11,0,2020-04-20
Santa Barbara,414.0,5.0,26,1,2020-04-21
Santa Barbara,437.0,5.0,23,0,2020-04-22
Santa Barbara,445.0,5.0,8,0,2020-04-23
Santa Barbara,450.0,6.0,5,1,2020-04-24
Santa Barbara,457.0,7.0,7,1,2020-04-25
Santa Barbara,464.0,7.0,7,0,2020-04-26
Santa Barbara,466.0,7.0,2,0,2020-04-27
Santa Barbara,469.0,7.0,3,0,2020-04-28
Santa Barbara,477.0,8.0,8,1,2020-04-29
Santa Barbara,490.0,8.0,13,0,2020-04-30
Santa Barbara,499.0,8.0,9,0,2020-05-01
Santa Barbara,506.0,8.0,7,0,2020-05-02
Santa Barbara,512.0,8.0,6,0,2020-05-03
Santa Barbara,524.0,9.0,12,1,2020-05-04
Santa Barbara,541.0,10.0,17,1,2020-05-05
Santa Barbara,565.0,11.0,24,1,2020-05-06
Santa Barbara,720.0,11.0,155,0,2020-05-07
Santa Barbara,1054.0,11.0,334,0,2020-05-08
Santa Barbara,1245.0,11.0,191,0,2020-05-09
Santa Barbara,1323.0,11.0,78,0,2020-05-10
Santa Barbara,1372.0,11.0,49,0,2020-05-11
Santa Barbara,1377.0,11.0,5,0,2020-05-12
Santa Barbara,1382.0,11.0,5,0,2020-05-13
Santa Barbara,1395.0,11.0,13,0,2020-05-14
Santa Barbara,1409.0,11.0,14,0,2020-05-15
Santa Barbara,1422.0,11.0,13,0,2020-05-16
Santa Barbara,1457.0,11.0,35,0,2020-05-17
Santa Barbara,1501.0,11.0,44,0,2020-05-18
Santa Barbara,1521.0,11.0,20,0,2020-05-19
Santa Barbara,1524.0,11.0,3,0,2020-05-20
Santa Barbara,1541.0,11.0,17,0,2020-05-21
Santa Barbara,1554.0,12.0,13,1,2020-05-22
Santa Barbara,1566.0,12.0,12,0,2020-05-23
Santa Barbara,1573.0,12.0,7,0,2020-05-24
Santa Barbara,1590.0,12.0,17,0,2020-05-25
Santa Barbara,1590.0,12.0,0,0,2020-05-26
Santa Barbara,1629.0,12.0,39,0,2020-05-27
Santa Barbara,1642.0,12.0,13,0,2020-05-28
Santa Barbara,1656.0,12.0,14,0,2020-05-29
Santa Barbara,1660.0,12.0,4,0,2020-05-30
Santa Barbara,1662.0,12.0,2,0,2020-05-31
Santa Barbara,1671.0,12.0,9,0,2020-06-01
Santa Barbara,1703.0,14.0,32,2,2020-06-02
Santa Barbara,1722.0,14.0,19,0,2020-06-03
Santa Barbara,1750.0,14.0,28,0,2020-06-04
Santa Barbara,1795.0,15.0,45,1,2020-06-05
Santa Barbara,1815.0,15.0,20,0,2020-06-06
Santa Barbara,1818.0,15.0,3,0,2020-06-07
Santa Barbara,1824.0,15.0,6,0,2020-06-08
Santa Barbara,1854.0,15.0,30,0,2020-06-09
Santa Barbara,1878.0,16.0,24,1,2020-06-10
Santa Barbara,1895.0,16.0,17,0,2020-06-11
Santa Barbara,1969.0,16.0,74,0,2020-06-12
Santa Barbara,1999.0,18.0,30,2,2020-06-13
Santa Barbara,2049.0,18.0,50,0,2020-06-14
Santa Barbara,2054.0,18.0,5,0,2020-06-15
Santa Barbara,2090.0,21.0,36,3,2020-06-16
Santa Barbara,2147.0,22.0,57,1,2020-06-17
Santa Barbara,2201.0,22.0,54,0,2020-06-18
Santa Barbara,2284.0,22.0,83,0,2020-06-19
Santa Barbara,2358.0,22.0,74,0,2020-06-20
Santa Barbara,2430.0,22.0,72,0,2020-06-21
Santa Barbara,2447.0,27.0,17,5,2020-06-22
Santa Barbara,2498.0,27.0,51,0,2020-06-23
Santa Barbara,2569.0,27.0,71,0,2020-06-24
Santa Barbara,2633.0,28.0,64,1,2020-06-25
Santa Barbara,2802.0,28.0,169,0,2020-06-26
Santa Barbara,2857.0,28.0,55,0,2020-06-27
Santa Barbara,2945.0,28.0,88,0,2020-06-28
Santa Barbara,3092.0,29.0,147,1,2020-06-29
Santa Barbara,3210.0,29.0,118,0,2020-06-30
Santa Barbara,3286.0,29.0,76,0,2020-07-01
Santa Barbara,3385.0,29.0,99,0,2020-07-02
Santa Barbara,3406.0,29.0,21,0,2020-07-03
Santa Barbara,3520.0,29.0,114,0,2020-07-04
Santa Barbara,3671.0,29.0,151,0,2020-07-05
Santa Barbara,3763.0,29.0,92,0,2020-07-06
Santa Barbara,3866.0,30.0,103,1,2020-07-07
Santa Barbara,3985.0,29.0,119,-1,2020-07-08
Santa Barbara,4068.0,29.0,83,0,2020-07-09
Santa Barbara,4177.0,31.0,109,2,2020-07-10
Santa Barbara,4283.0,31.0,106,0,2020-07-11
Santa Barbara,4353.0,31.0,70,0,2020-07-12
Santa Barbara,4441.0,31.0,88,0,2020-07-13
Santa Barbara,4641.0,31.0,200,0,2020-07-14
Santa Barbara,4733.0,31.0,92,0,2020-07-15
Santa Barbara,4872.0,32.0,139,1,2020-07-16
Santa Barbara,5001.0,32.0,129,0,2020-07-17
Santa Barbara,5110.0,32.0,109,0,2020-07-18
Santa Barbara,5145.0,32.0,35,0,2020-07-19
Santa Barbara,5266.0,32.0,121,0,2020-07-20
Santa Barbara,5422.0,32.0,156,0,2020-07-21
Santa Barbara,5508.0,32.0,86,0,2020-07-22
Santa Barbara,5628.0,32.0,120,0,2020-07-23
Santa Barbara,5776.0,32.0,148,0,2020-07-24
Santa Barbara,5880.0,32.0,104,0,2020-07-25
Santa Barbara,5939.0,32.0,59,0,2020-07-26
Santa Barbara,6026.0,32.0,87,0,2020-07-27
Santa Barbara,6110.0,32.0,84,0,2020-07-28
Santa Barbara,6215.0,32.0,105,0,2020-07-29
Santa Barbara,6273.0,32.0,58,0,2020-07-30
Santa Barbara,6375.0,60.0,102,28,2020-07-31
Santa Barbara,6465.0,60.0,90,0,2020-08-01
Santa Barbara,6532.0,60.0,67,0,2020-08-02
Santa Barbara,6580.0,61.0,48,1,2020-08-03
Santa Barbara,6591.0,64.0,11,3,2020-08-04
Santa Barbara,6597.0,67.0,6,3,2020-08-05
Santa Barbara,6620.0,68.0,23,1,2020-08-06
Santa Barbara,6509.0,69.0,-111,1,2020-08-07
Tuolumne,0.0,0.0,0,0,2020-03-18
Tuolumne,0.0,0.0,0,0,2020-03-19
Tuolumne,0.0,0.0,0,0,2020-03-20
Tuolumne,0.0,0.0,0,0,2020-03-21
Tuolumne,0.0,0.0,0,0,2020-03-22
Tuolumne,0.0,0.0,0,0,2020-03-23
Tuolumne,0.0,0.0,0,0,2020-03-24
Tuolumne,0.0,0.0,0,0,2020-03-25
Tuolumne,0.0,0.0,0,0,2020-03-26
Tuolumne,1.0,0.0,1,0,2020-03-27
Tuolumne,1.0,0.0,0,0,2020-03-28
Tuolumne,1.0,0.0,0,0,2020-03-29
Tuolumne,1.0,0.0,0,0,2020-03-30
Tuolumne,1.0,0.0,0,0,2020-03-31
Tuolumne,1.0,0.0,0,0,2020-04-01
Tuolumne,1.0,0.0,0,0,2020-04-02
Tuolumne,1.0,0.0,0,0,2020-04-03
Tuolumne,1.0,0.0,0,0,2020-04-04
Tuolumne,1.0,0.0,0,0,2020-04-05
Tuolumne,1.0,0.0,0,0,2020-04-06
Tuolumne,1.0,0.0,0,0,2020-04-07
Tuolumne,0.0,0.0,-1,0,2020-04-08
Tuolumne,0.0,0.0,0,0,2020-04-09
Tuolumne,0.0,0.0,0,0,2020-04-10
Tuolumne,0.0,0.0,0,0,2020-04-11
Tuolumne,0.0,0.0,0,0,2020-04-12
Tuolumne,0.0,0.0,0,0,2020-04-13
Tuolumne,0.0,0.0,0,0,2020-04-14
Tuolumne,1.0,0.0,1,0,2020-04-15
Tuolumne,1.0,0.0,0,0,2020-04-16
Tuolumne,2.0,0.0,1,0,2020-04-17
Tuolumne,2.0,0.0,0,0,2020-04-18
Tuolumne,2.0,0.0,0,0,2020-04-19
Tuolumne,2.0,0.0,0,0,2020-04-20
Tuolumne,2.0,0.0,0,0,2020-04-21
Tuolumne,2.0,0.0,0,0,2020-04-22
Tuolumne,2.0,0.0,0,0,2020-04-23
Tuolumne,2.0,0.0,0,0,2020-04-24
Tuolumne,2.0,0.0,0,0,2020-04-25
Tuolumne,3.0,0.0,1,0,2020-04-26
Tuolumne,3.0,0.0,0,0,2020-04-27
Tuolumne,4.0,0.0,1,0,2020-04-28
Tuolumne,4.0,0.0,0,0,2020-04-29
Tuolumne,3.0,0.0,-1,0,2020-04-30
Tuolumne,3.0,0.0,0,0,2020-05-01
Tuolumne,3.0,0.0,0,0,2020-05-02
Tuolumne,3.0,0.0,0,0,2020-05-03
Tuolumne,3.0,0.0,0,0,2020-05-04
Tuolumne,2.0,0.0,-1,0,2020-05-05
Tuolumne,2.0,0.0,0,0,2020-05-06
Tuolumne,2.0,0.0,0,0,2020-05-07
Tuolumne,2.0,0.0,0,0,2020-05-08
Tuolumne,2.0,0.0,0,0,2020-05-09
Tuolumne,2.0,0.0,0,0,2020-05-10
Tuolumne,2.0,0.0,0,0,2020-05-11
Tuolumne,2.0,0.0,0,0,2020-05-12
Tuolumne,2.0,0.0,0,0,2020-05-13
Tuolumne,2.0,0.0,0,0,2020-05-14
Tuolumne,2.0,0.0,0,0,2020-05-15
Tuolumne,2.0,0.0,0,0,2020-05-16
Tuolumne,2.0,0.0,0,0,2020-05-17
Tuolumne,2.0,0.0,0,0,2020-05-18
Tuolumne,2.0,0.0,0,0,2020-05-19
Tuolumne,2.0,0.0,0,0,2020-05-20
Tuolumne,2.0,0.0,0,0,2020-05-21
Tuolumne,2.0,0.0,0,0,2020-05-22
Tuolumne,2.0,0.0,0,0,2020-05-23
Tuolumne,2.0,0.0,0,0,2020-05-24
Tuolumne,2.0,0.0,0,0,2020-05-25
Tuolumne,2.0,0.0,0,0,2020-05-26
Tuolumne,4.0,0.0,2,0,2020-05-27
Tuolumne,4.0,0.0,0,0,2020-05-28
Tuolumne,4.0,0.0,0,0,2020-05-29
Tuolumne,4.0,0.0,0,0,2020-05-30
Tuolumne,4.0,0.0,0,0,2020-05-31
Tuolumne,4.0,0.0,0,0,2020-06-01
Tuolumne,4.0,0.0,0,0,2020-06-02
Tuolumne,4.0,0.0,0,0,2020-06-03
Tuolumne,4.0,0.0,0,0,2020-06-04
Tuolumne,4.0,0.0,0,0,2020-06-05
Tuolumne,4.0,0.0,0,0,2020-06-06
Tuolumne,4.0,0.0,0,0,2020-06-07
Tuolumne,8.0,0.0,4,0,2020-06-08
Tuolumne,8.0,0.0,0,0,2020-06-09
Tuolumne,7.0,0.0,-1,0,2020-06-10
Tuolumne,7.0,0.0,0,0,2020-06-11
Tuolumne,7.0,0.0,0,0,2020-06-12
Tuolumne,7.0,0.0,0,0,2020-06-13
Tuolumne,7.0,0.0,0,0,2020-06-14
Tuolumne,7.0,0.0,0,0,2020-06-15
Tuolumne,7.0,0.0,0,0,2020-06-16
Tuolumne,7.0,0.0,0,0,2020-06-17
Tuolumne,8.0,0.0,1,0,2020-06-18
